,seriesValue,seriesID,seriesName,topicID,jurisdictionName,industryCode,industryName,occupationCode,occupationName,agencyID,agencyName,periodCode,startDate,endDate,sourceCitation,sourceName,sourceOrganization,sourceUrl,documentationUrl,footNote
14,81133.0,1,Total Restrictions,1,Canada,0,No applicable code,0,Not applicable.,0,Not applicable,2012,2012-01-01,2012-12-31,"McLaughlin, Patrick A., Jonathan Nelson, Thurston Powers, and Stephen Strosko. RegData Canada (dataset). QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2019. https://quantgov.org/regdata-canada/.",RegData Canada (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,https://www.quantgov.org/regdata-canada-documentation,
15,10225122.0,2,Total Words,1,Canada,0,No applicable code,0,Not applicable.,0,Not applicable,2012,2012-01-01,2012-12-31,"McLaughlin, Patrick A., Jonathan Nelson, Thurston Powers, and Stephen Strosko. RegData Canada (dataset). QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2019. https://quantgov.org/regdata-canada/.",RegData Canada (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,https://www.quantgov.org/regdata-canada-documentation,
16,1033847.0,1,Total Restrictions,1,United States,0,No applicable code,0,Not applicable.,0,Not applicable,2012,2012-01-01,2012-12-31,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
17,97902925.0,2,Total Words,1,United States,0,No applicable code,0,Not applicable.,0,Not applicable,2012,2012-01-01,2012-12-31,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
18,215624.0,1,Total Restrictions,1,Australia,0,No applicable code,0,Not applicable.,0,Not applicable,2012,2012-01-01,2012-12-31,"McLaughlin, Patrick A., Jonathan Nelson, Stephen Strosko, and Walter Stover. RegData Australia (dataset). QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2019. https://quantgov.org/regdata-australia/.",RegData Australia (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,https://www.quantgov.org/regdata-australia-documentation,
19,39939325.0,2,Total Words,1,Australia,0,No applicable code,0,Not applicable.,0,Not applicable,2012,2012-01-01,2012-12-31,"McLaughlin, Patrick A., Jonathan Nelson, Stephen Strosko, and Walter Stover. RegData Australia (dataset). QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2019. https://quantgov.org/regdata-australia/.",RegData Australia (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,https://www.quantgov.org/regdata-australia-documentation,
20,892682.0,1,Total Restrictions,1,United States,0,No applicable code,0,Not applicable.,0,Not applicable,2003,2003-01-01,2003-12-31,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
21,80803669.0,2,Total Words,1,United States,0,No applicable code,0,Not applicable.,0,Not applicable,2003,2003-01-01,2003-12-31,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
22,78861.0,1,Total Restrictions,1,Canada,0,No applicable code,0,Not applicable.,0,Not applicable,2010,2010-01-01,2010-12-31,"McLaughlin, Patrick A., Jonathan Nelson, Thurston Powers, and Stephen Strosko. RegData Canada (dataset). QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2019. https://quantgov.org/regdata-canada/.",RegData Canada (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,https://www.quantgov.org/regdata-canada-documentation,
23,9638680.0,2,Total Words,1,Canada,0,No applicable code,0,Not applicable.,0,Not applicable,2010,2010-01-01,2010-12-31,"McLaughlin, Patrick A., Jonathan Nelson, Thurston Powers, and Stephen Strosko. RegData Canada (dataset). QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2019. https://quantgov.org/regdata-canada/.",RegData Canada (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,https://www.quantgov.org/regdata-canada-documentation,
24,989798.0,1,Total Restrictions,1,United States,0,No applicable code,0,Not applicable.,0,Not applicable,2010,2010-01-01,2010-12-31,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
25,92742933.0,2,Total Words,1,United States,0,No applicable code,0,Not applicable.,0,Not applicable,2010,2010-01-01,2010-12-31,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
26,177308.0,1,Total Restrictions,1,Australia,0,No applicable code,0,Not applicable.,0,Not applicable,2010,2010-01-01,2010-12-31,"McLaughlin, Patrick A., Jonathan Nelson, Stephen Strosko, and Walter Stover. RegData Australia (dataset). QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2019. https://quantgov.org/regdata-australia/.",RegData Australia (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,https://www.quantgov.org/regdata-australia-documentation,
27,33549908.0,2,Total Words,1,Australia,0,No applicable code,0,Not applicable.,0,Not applicable,2010,2010-01-01,2010-12-31,"McLaughlin, Patrick A., Jonathan Nelson, Stephen Strosko, and Walter Stover. RegData Australia (dataset). QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2019. https://quantgov.org/regdata-australia/.",RegData Australia (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,https://www.quantgov.org/regdata-australia-documentation,
28,76797.0,1,Total Restrictions,1,Canada,0,No applicable code,0,Not applicable.,0,Not applicable,2007,2007-01-01,2007-12-31,"McLaughlin, Patrick A., Jonathan Nelson, Thurston Powers, and Stephen Strosko. RegData Canada (dataset). QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2019. https://quantgov.org/regdata-canada/.",RegData Canada (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,https://www.quantgov.org/regdata-canada-documentation,
29,9161430.0,2,Total Words,1,Canada,0,No applicable code,0,Not applicable.,0,Not applicable,2007,2007-01-01,2007-12-31,"McLaughlin, Patrick A., Jonathan Nelson, Thurston Powers, and Stephen Strosko. RegData Canada (dataset). QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2019. https://quantgov.org/regdata-canada/.",RegData Canada (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,https://www.quantgov.org/regdata-canada-documentation,
30,941290.0,1,Total Restrictions,1,United States,0,No applicable code,0,Not applicable.,0,Not applicable,2007,2007-01-01,2007-12-31,"Patrick McLaughlin, Jonathan Nelson, Thurston Powers, Walter Stover, and Stephen Strosko, RegData US 4.0 Annual (dataset), QuantGov, Mercatus Center at George Mason University, Arlington, VA, 2021",RegData US 4.0 Annual (dataset),Mercatus Center at George Mason University,https://www.quantgov.org/download-data,,
