Geography 2,geo_code,North American Industry Classification System (NAICS) 4,Reference period,avg_hr_wage
Nova Scotia,12,"Information, culture and recreation",2012,18.25
Nova Scotia,12,"Information, culture and recreation",2013,19.43
Nova Scotia,12,"Information, culture and recreation",2014,21.84
Nova Scotia,12,"Information, culture and recreation",2015,21.72
Nova Scotia,12,Accommodation and food services,1997,7.67
Nova Scotia,12,Accommodation and food services,1998,7.46
Nova Scotia,12,Accommodation and food services,1999,7.54
Nova Scotia,12,Accommodation and food services,2000,7.94
Nova Scotia,12,Accommodation and food services,2001,8.28
Nova Scotia,12,Accommodation and food services,2002,8.26
Nova Scotia,12,Accommodation and food services,2003,8.97
Nova Scotia,12,Accommodation and food services,2004,8.84
Nova Scotia,12,Accommodation and food services,2005,9.41
Nova Scotia,12,Accommodation and food services,2006,9.37
Nova Scotia,12,Accommodation and food services,2007,9.99
Nova Scotia,12,Accommodation and food services,2008,10.31
Nova Scotia,12,Accommodation and food services,2009,11.25
Nova Scotia,12,Accommodation and food services,2010,11.98
Nova Scotia,12,Accommodation and food services,2011,12.23
Nova Scotia,12,Accommodation and food services,2012,12.61
Nova Scotia,12,Accommodation and food services,2013,13.29
Nova Scotia,12,Accommodation and food services,2014,13.18
Nova Scotia,12,Accommodation and food services,2015,13.26
Nova Scotia,12,Other services (except public administration),1997,10.44
Nova Scotia,12,Other services (except public administration),1998,10.98
Nova Scotia,12,Other services (except public administration),1999,11.69
Nova Scotia,12,Other services (except public administration),2000,11.95
Nova Scotia,12,Other services (except public administration),2001,11.58
Nova Scotia,12,Other services (except public administration),2002,12.39
Nova Scotia,12,Other services (except public administration),2003,12.18
Nova Scotia,12,Other services (except public administration),2004,13.65
Nova Scotia,12,Other services (except public administration),2005,12.96
Nova Scotia,12,Other services (except public administration),2006,14.15
Nova Scotia,12,Other services (except public administration),2007,14.81
Nova Scotia,12,Other services (except public administration),2008,16.09
Nova Scotia,12,Other services (except public administration),2009,16.1
Nova Scotia,12,Other services (except public administration),2010,17.65
Nova Scotia,12,Other services (except public administration),2011,17.63
Nova Scotia,12,Other services (except public administration),2012,19.16
Nova Scotia,12,Other services (except public administration),2013,18.62
Nova Scotia,12,Other services (except public administration),2014,18.86
Nova Scotia,12,Other services (except public administration),2015,19.78
Nova Scotia,12,Public administration,1997,17.35
Nova Scotia,12,Public administration,1998,16.79
Nova Scotia,12,Public administration,1999,18.05
Nova Scotia,12,Public administration,2000,19.39
Nova Scotia,12,Public administration,2001,20.31
Nova Scotia,12,Public administration,2002,21.29
Nova Scotia,12,Public administration,2003,22.02
Nova Scotia,12,Public administration,2004,21.82
Nova Scotia,12,Public administration,2005,23.38
Nova Scotia,12,Public administration,2006,23.2
Nova Scotia,12,Public administration,2007,24.02
Nova Scotia,12,Public administration,2008,26.22
Nova Scotia,12,Public administration,2009,26.34
Nova Scotia,12,Public administration,2010,27.84
Nova Scotia,12,Public administration,2011,28.88
Nova Scotia,12,Public administration,2012,28.86
Nova Scotia,12,Public administration,2013,29.64
Nova Scotia,12,Public administration,2014,29.98
Nova Scotia,12,Public administration,2015,30.58
New Brunswick,13,Agriculture 5,1997,9.46
New Brunswick,13,Agriculture 5,1998,8.46
New Brunswick,13,Agriculture 5,1999,9.78
New Brunswick,13,Agriculture 5,2000,10.36
New Brunswick,13,Agriculture 5,2001,9.52
New Brunswick,13,Agriculture 5,2002,10.87
New Brunswick,13,Agriculture 5,2003,11.02
New Brunswick,13,Agriculture 5,2004,10.8
New Brunswick,13,Agriculture 5,2005,11.94
New Brunswick,13,Agriculture 5,2006,11.86
New Brunswick,13,Agriculture 5,2007,13.16
New Brunswick,13,Agriculture 5,2008,13.08
New Brunswick,13,Agriculture 5,2009,13.16
New Brunswick,13,Agriculture 5,2010,14.11
New Brunswick,13,Agriculture 5,2011,14.55
New Brunswick,13,Agriculture 5,2012,14.96
New Brunswick,13,Agriculture 5,2013,15.5
New Brunswick,13,Agriculture 5,2014,15.16
New Brunswick,13,Agriculture 5,2015,15.76
New Brunswick,13,"Forestry, fishing, mining, quarrying, oil and gas 6 7",1997,15.24
New Brunswick,13,"Forestry, fishing, mining, quarrying, oil and gas 6 7",1998,15.65
New Brunswick,13,"Forestry, fishing, mining, quarrying, oil and gas 6 7",1999,15.36
New Brunswick,13,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2000,16.56
New Brunswick,13,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2001,16.78
New Brunswick,13,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2002,17.05
New Brunswick,13,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2003,16.83
New Brunswick,13,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2004,17.34
New Brunswick,13,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2005,17.57
New Brunswick,13,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2006,18.57
New Brunswick,13,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2007,18.82
New Brunswick,13,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2008,19.62
New Brunswick,13,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2009,21.4
New Brunswick,13,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2010,21.76
New Brunswick,13,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2011,20.86
New Brunswick,13,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2012,23.14
New Brunswick,13,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2013,24.44
New Brunswick,13,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2014,22.29
New Brunswick,13,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2015,25.18
New Brunswick,13,Construction,1997,13.4
New Brunswick,13,Construction,1998,13.28
New Brunswick,13,Construction,1999,13.63
New Brunswick,13,Construction,2000,14.94
New Brunswick,13,Construction,2001,14.62
New Brunswick,13,Construction,2002,14.41
New Brunswick,13,Construction,2003,14.94
New Brunswick,13,Construction,2004,15.62
New Brunswick,13,Construction,2005,15.41
New Brunswick,13,Construction,2006,15.81
New Brunswick,13,Construction,2007,17.09
New Brunswick,13,Construction,2008,18.36
New Brunswick,13,Construction,2009,19.01
New Brunswick,13,Construction,2010,19.73
New Brunswick,13,Construction,2011,19.29
New Brunswick,13,Construction,2012,20.78
New Brunswick,13,Construction,2013,22.25
New Brunswick,13,Construction,2014,22.15
New Brunswick,13,Construction,2015,22.97
New Brunswick,13,Manufacturing,1997,13.56
New Brunswick,13,Manufacturing,1998,14.14
New Brunswick,13,Manufacturing,1999,14.18
New Brunswick,13,Manufacturing,2000,15.37
New Brunswick,13,Manufacturing,2001,14.9
New Brunswick,13,Manufacturing,2002,15.21
New Brunswick,13,Manufacturing,2003,15.62
New Brunswick,13,Manufacturing,2004,15.51
New Brunswick,13,Manufacturing,2005,16.08
New Brunswick,13,Manufacturing,2006,16.6
New Brunswick,13,Manufacturing,2007,17.78
New Brunswick,13,Manufacturing,2008,17.78
New Brunswick,13,Manufacturing,2009,18.43
New Brunswick,13,Manufacturing,2010,19.35
New Brunswick,13,Manufacturing,2011,19.25
New Brunswick,13,Manufacturing,2012,19.6
New Brunswick,13,Manufacturing,2013,20.49
New Brunswick,13,Manufacturing,2014,20.25
New Brunswick,13,Manufacturing,2015,21.8
New Brunswick,13,Wholesale and retail trade,1997,10
New Brunswick,13,Wholesale and retail trade,1998,9.92
New Brunswick,13,Wholesale and retail trade,1999,10.34
New Brunswick,13,Wholesale and retail trade,2000,10.73
New Brunswick,13,Wholesale and retail trade,2001,11.14
New Brunswick,13,Wholesale and retail trade,2002,11.01
New Brunswick,13,Wholesale and retail trade,2003,11.44
New Brunswick,13,Wholesale and retail trade,2004,11.81
New Brunswick,13,Wholesale and retail trade,2005,12.11
New Brunswick,13,Wholesale and retail trade,2006,12.22
New Brunswick,13,Wholesale and retail trade,2007,12.71
New Brunswick,13,Wholesale and retail trade,2008,13.46
New Brunswick,13,Wholesale and retail trade,2009,14.18
New Brunswick,13,Wholesale and retail trade,2010,14.52
New Brunswick,13,Wholesale and retail trade,2011,14.54
New Brunswick,13,Wholesale and retail trade,2012,15.47
New Brunswick,13,Wholesale and retail trade,2013,15.93
New Brunswick,13,Wholesale and retail trade,2014,16.26
New Brunswick,13,Wholesale and retail trade,2015,16.03
New Brunswick,13,Transportation and warehousing,1997,13.85
New Brunswick,13,Transportation and warehousing,1998,13.03
New Brunswick,13,Transportation and warehousing,1999,13.93
New Brunswick,13,Transportation and warehousing,2000,14.56
New Brunswick,13,Transportation and warehousing,2001,14.72
New Brunswick,13,Transportation and warehousing,2002,15.12
New Brunswick,13,Transportation and warehousing,2003,15.71
New Brunswick,13,Transportation and warehousing,2004,16.09
New Brunswick,13,Transportation and warehousing,2005,15.77
New Brunswick,13,Transportation and warehousing,2006,16.8
New Brunswick,13,Transportation and warehousing,2007,16.58
New Brunswick,13,Transportation and warehousing,2008,18.37
New Brunswick,13,Transportation and warehousing,2009,18.28
New Brunswick,13,Transportation and warehousing,2010,18.79
New Brunswick,13,Transportation and warehousing,2011,19.33
New Brunswick,13,Transportation and warehousing,2012,19.42
New Brunswick,13,Transportation and warehousing,2013,20.02
New Brunswick,13,Transportation and warehousing,2014,20.64
New Brunswick,13,Transportation and warehousing,2015,20.7
New Brunswick,13,"Finance, insurance, real estate, rental and leasing",1997,12.92
New Brunswick,13,"Finance, insurance, real estate, rental and leasing",1998,13.85
New Brunswick,13,"Finance, insurance, real estate, rental and leasing",1999,14.23
New Brunswick,13,"Finance, insurance, real estate, rental and leasing",2000,15.39
New Brunswick,13,"Finance, insurance, real estate, rental and leasing",2001,15.83
New Brunswick,13,"Finance, insurance, real estate, rental and leasing",2002,15.7
New Brunswick,13,"Finance, insurance, real estate, rental and leasing",2003,16.05
New Brunswick,13,"Finance, insurance, real estate, rental and leasing",2004,15.78
New Brunswick,13,"Finance, insurance, real estate, rental and leasing",2005,16.38
New Brunswick,13,"Finance, insurance, real estate, rental and leasing",2006,17.4
New Brunswick,13,"Finance, insurance, real estate, rental and leasing",2007,17.54
New Brunswick,13,"Finance, insurance, real estate, rental and leasing",2008,19.49
New Brunswick,13,"Finance, insurance, real estate, rental and leasing",2009,20.42
New Brunswick,13,"Finance, insurance, real estate, rental and leasing",2010,20.48
New Brunswick,13,"Finance, insurance, real estate, rental and leasing",2011,20.72
New Brunswick,13,"Finance, insurance, real estate, rental and leasing",2012,19.58
New Brunswick,13,"Finance, insurance, real estate, rental and leasing",2013,21.2
New Brunswick,13,"Finance, insurance, real estate, rental and leasing",2014,23
New Brunswick,13,"Finance, insurance, real estate, rental and leasing",2015,22.98
New Brunswick,13,"Professional, scientific and technical services",1997,13.98
New Brunswick,13,"Professional, scientific and technical services",1998,14.4
New Brunswick,13,"Professional, scientific and technical services",1999,15.38
New Brunswick,13,"Professional, scientific and technical services",2000,16.3
New Brunswick,13,"Professional, scientific and technical services",2001,17.25
New Brunswick,13,"Professional, scientific and technical services",2002,17.29
New Brunswick,13,"Professional, scientific and technical services",2003,18.6
New Brunswick,13,"Professional, scientific and technical services",2004,19.58
New Brunswick,13,"Professional, scientific and technical services",2005,19.24
New Brunswick,13,"Professional, scientific and technical services",2006,20.9
New Brunswick,13,"Professional, scientific and technical services",2007,20.77
New Brunswick,13,"Professional, scientific and technical services",2008,22.03
New Brunswick,13,"Professional, scientific and technical services",2009,23.09
New Brunswick,13,"Professional, scientific and technical services",2010,23.89
New Brunswick,13,"Professional, scientific and technical services",2011,24.42
New Brunswick,13,"Professional, scientific and technical services",2012,24.54
New Brunswick,13,"Professional, scientific and technical services",2013,25.4
New Brunswick,13,"Professional, scientific and technical services",2014,26.42
New Brunswick,13,"Professional, scientific and technical services",2015,26.4
New Brunswick,13,"Business, building and other support services 8",1997,8.71
New Brunswick,13,"Business, building and other support services 8",1998,9.08
New Brunswick,13,"Business, building and other support services 8",1999,9.67
New Brunswick,13,"Business, building and other support services 8",2000,10.15
New Brunswick,13,"Business, building and other support services 8",2001,11.01
New Brunswick,13,"Business, building and other support services 8",2002,11.66
New Brunswick,13,"Business, building and other support services 8",2003,11.59
New Brunswick,13,"Business, building and other support services 8",2004,11.62
New Brunswick,13,"Business, building and other support services 8",2005,11.78
New Brunswick,13,"Business, building and other support services 8",2006,12.14
New Brunswick,13,"Business, building and other support services 8",2007,12.42
New Brunswick,13,"Business, building and other support services 8",2008,12.75
New Brunswick,13,"Business, building and other support services 8",2009,13.52
New Brunswick,13,"Business, building and other support services 8",2010,13.77
New Brunswick,13,"Business, building and other support services 8",2011,15.39
New Brunswick,13,"Business, building and other support services 8",2012,15.14
New Brunswick,13,"Business, building and other support services 8",2013,16.2
New Brunswick,13,"Business, building and other support services 8",2014,16.85
New Brunswick,13,"Business, building and other support services 8",2015,16.82
New Brunswick,13,Educational services,1997,17.08
New Brunswick,13,Educational services,1998,17.48
New Brunswick,13,Educational services,1999,17.38
New Brunswick,13,Educational services,2000,17.8
New Brunswick,13,Educational services,2001,17.88
New Brunswick,13,Educational services,2002,18.53
New Brunswick,13,Educational services,2003,18.83
New Brunswick,13,Educational services,2004,19.53
New Brunswick,13,Educational services,2005,20.56
New Brunswick,13,Educational services,2006,21.31
New Brunswick,13,Educational services,2007,22.46
New Brunswick,13,Educational services,2008,21.96
New Brunswick,13,Educational services,2009,23.82
New Brunswick,13,Educational services,2010,24.34
New Brunswick,13,Educational services,2011,24.78
New Brunswick,13,Educational services,2012,25.5
New Brunswick,13,Educational services,2013,26.12
New Brunswick,13,Educational services,2014,26.52
New Brunswick,13,Educational services,2015,26.44
New Brunswick,13,Health care and social assistance,1997,14.07
New Brunswick,13,Health care and social assistance,1998,14.48
New Brunswick,13,Health care and social assistance,1999,13.9
New Brunswick,13,Health care and social assistance,2000,14.35
New Brunswick,13,Health care and social assistance,2001,15.41
New Brunswick,13,Health care and social assistance,2002,15.81
New Brunswick,13,Health care and social assistance,2003,15.93
New Brunswick,13,Health care and social assistance,2004,16.44
New Brunswick,13,Health care and social assistance,2005,17.24
New Brunswick,13,Health care and social assistance,2006,18.12
New Brunswick,13,Health care and social assistance,2007,19.14
New Brunswick,13,Health care and social assistance,2008,19.68
New Brunswick,13,Health care and social assistance,2009,20.34
New Brunswick,13,Health care and social assistance,2010,20.42
New Brunswick,13,Health care and social assistance,2011,21.11
New Brunswick,13,Health care and social assistance,2012,21.62
New Brunswick,13,Health care and social assistance,2013,22.07
New Brunswick,13,Health care and social assistance,2014,22.47
New Brunswick,13,Health care and social assistance,2015,22.59
New Brunswick,13,"Information, culture and recreation",1997,13.67
New Brunswick,13,"Information, culture and recreation",1998,13.81
New Brunswick,13,"Information, culture and recreation",1999,14.36
New Brunswick,13,"Information, culture and recreation",2000,15.12
New Brunswick,13,"Information, culture and recreation",2001,14.44
New Brunswick,13,"Information, culture and recreation",2002,14.29
New Brunswick,13,"Information, culture and recreation",2003,14.4
New Brunswick,13,"Information, culture and recreation",2004,14.7
New Brunswick,13,"Information, culture and recreation",2005,14.62
New Brunswick,13,"Information, culture and recreation",2006,16.48
New Brunswick,13,"Information, culture and recreation",2007,18.28
New Brunswick,13,"Information, culture and recreation",2008,17.99
New Brunswick,13,"Information, culture and recreation",2009,18.4
New Brunswick,13,"Information, culture and recreation",2010,18.56
New Brunswick,13,"Information, culture and recreation",2011,18.48
New Brunswick,13,"Information, culture and recreation",2012,19.75
New Brunswick,13,"Information, culture and recreation",2013,19.96
New Brunswick,13,"Information, culture and recreation",2014,21.65
New Brunswick,13,"Information, culture and recreation",2015,21.7
New Brunswick,13,Accommodation and food services,1997,7.26
New Brunswick,13,Accommodation and food services,1998,7.11
New Brunswick,13,Accommodation and food services,1999,7.46
New Brunswick,13,Accommodation and food services,2000,7.52
New Brunswick,13,Accommodation and food services,2001,7.98
New Brunswick,13,Accommodation and food services,2002,7.92
New Brunswick,13,Accommodation and food services,2003,8.49
New Brunswick,13,Accommodation and food services,2004,8.82
New Brunswick,13,Accommodation and food services,2005,9.12
New Brunswick,13,Accommodation and food services,2006,9.52
New Brunswick,13,Accommodation and food services,2007,9.49
New Brunswick,13,Accommodation and food services,2008,10.14
New Brunswick,13,Accommodation and food services,2009,10.85
New Brunswick,13,Accommodation and food services,2010,10.82
New Brunswick,13,Accommodation and food services,2011,11.99
New Brunswick,13,Accommodation and food services,2012,12.6
New Brunswick,13,Accommodation and food services,2013,12.64
New Brunswick,13,Accommodation and food services,2014,12.71
New Brunswick,13,Accommodation and food services,2015,12.98
New Brunswick,13,Other services (except public administration),1997,10.44
New Brunswick,13,Other services (except public administration),1998,11.59
New Brunswick,13,Other services (except public administration),1999,11.14
New Brunswick,13,Other services (except public administration),2000,11.49
New Brunswick,13,Other services (except public administration),2001,12.19
New Brunswick,13,Other services (except public administration),2002,12.73
New Brunswick,13,Other services (except public administration),2003,12.19
New Brunswick,13,Other services (except public administration),2004,12.54
New Brunswick,13,Other services (except public administration),2005,13.77
New Brunswick,13,Other services (except public administration),2006,15.01
New Brunswick,13,Other services (except public administration),2007,14.62
New Brunswick,13,Other services (except public administration),2008,15.33
New Brunswick,13,Other services (except public administration),2009,16.36
New Brunswick,13,Other services (except public administration),2010,16.5
New Brunswick,13,Other services (except public administration),2011,16.85
New Brunswick,13,Other services (except public administration),2012,18.13
New Brunswick,13,Other services (except public administration),2013,17.94
New Brunswick,13,Other services (except public administration),2014,17.62
New Brunswick,13,Other services (except public administration),2015,18.83
New Brunswick,13,Public administration,1997,16.38
New Brunswick,13,Public administration,1998,16.41
New Brunswick,13,Public administration,1999,17.44
New Brunswick,13,Public administration,2000,18.49
New Brunswick,13,Public administration,2001,18.66
New Brunswick,13,Public administration,2002,20.37
New Brunswick,13,Public administration,2003,20.48
New Brunswick,13,Public administration,2004,21.49
New Brunswick,13,Public administration,2005,22.32
New Brunswick,13,Public administration,2006,21.87
New Brunswick,13,Public administration,2007,22.86
New Brunswick,13,Public administration,2008,24.81
New Brunswick,13,Public administration,2009,25.92
New Brunswick,13,Public administration,2010,25.97
New Brunswick,13,Public administration,2011,26.8
New Brunswick,13,Public administration,2012,26.59
New Brunswick,13,Public administration,2013,28.04
New Brunswick,13,Public administration,2014,27.23
New Brunswick,13,Public administration,2015,29.36
Quebec,24,Agriculture 5,1997,9.23
Quebec,24,Agriculture 5,1998,9.63
Quebec,24,Agriculture 5,1999,10.15
Quebec,24,Agriculture 5,2000,10.15
Quebec,24,Agriculture 5,2001,10.9
Quebec,24,Agriculture 5,2002,10.51
Quebec,24,Agriculture 5,2003,10.98
Quebec,24,Agriculture 5,2004,11.32
Quebec,24,Agriculture 5,2005,11.11
Quebec,24,Agriculture 5,2006,11.16
Quebec,24,Agriculture 5,2007,11.73
Quebec,24,Agriculture 5,2008,12.98
Quebec,24,Agriculture 5,2009,12.95
Quebec,24,Agriculture 5,2010,12.65
Quebec,24,Agriculture 5,2011,13.15
Quebec,24,Agriculture 5,2012,14.97
Quebec,24,Agriculture 5,2013,15.03
Quebec,24,Agriculture 5,2014,14.96
Quebec,24,Agriculture 5,2015,15.93
Quebec,24,"Forestry, fishing, mining, quarrying, oil and gas 6 7",1997,16.7
Quebec,24,"Forestry, fishing, mining, quarrying, oil and gas 6 7",1998,16.63
Quebec,24,"Forestry, fishing, mining, quarrying, oil and gas 6 7",1999,17.47
Quebec,24,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2000,17.54
Quebec,24,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2001,17.33
Quebec,24,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2002,17.95
Quebec,24,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2003,18.64
Quebec,24,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2004,19.95
Quebec,24,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2005,20.78
Quebec,24,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2006,21.56
Quebec,24,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2007,22.77
Quebec,24,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2008,23.12
Quebec,24,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2009,22.35
Quebec,24,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2010,23.14
Quebec,24,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2011,25.46
Quebec,24,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2012,26.17
Quebec,24,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2013,26.27
Quebec,24,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2014,28.25
Quebec,24,"Forestry, fishing, mining, quarrying, oil and gas 6 7",2015,28.55
Quebec,24,Construction,1997,17
Quebec,24,Construction,1998,17.26
Quebec,24,Construction,1999,17.45
Quebec,24,Construction,2000,17.75
Quebec,24,Construction,2001,18.33
Quebec,24,Construction,2002,19.34
Quebec,24,Construction,2003,19.14
Quebec,24,Construction,2004,19.61
Quebec,24,Construction,2005,19.58
Quebec,24,Construction,2006,20.86
Quebec,24,Construction,2007,21.74
Quebec,24,Construction,2008,22.13
Quebec,24,Construction,2009,23.04
Quebec,24,Construction,2010,23.64
Quebec,24,Construction,2011,24.45
Quebec,24,Construction,2012,25.15
Quebec,24,Construction,2013,25.83
Quebec,24,Construction,2014,26.39
Quebec,24,Construction,2015,26.71
Quebec,24,Manufacturing,1997,15.04
Quebec,24,Manufacturing,1998,15.27
Quebec,24,Manufacturing,1999,15.36
Quebec,24,Manufacturing,2000,15.93
Quebec,24,Manufacturing,2001,16.47
Quebec,24,Manufacturing,2002,16.74
Quebec,24,Manufacturing,2003,17.44
Quebec,24,Manufacturing,2004,18.33
Quebec,24,Manufacturing,2005,18.67
Quebec,24,Manufacturing,2006,19.03
Quebec,24,Manufacturing,2007,19.5
Quebec,24,Manufacturing,2008,20.21
Quebec,24,Manufacturing,2009,21.26
Quebec,24,Manufacturing,2010,21.38
Quebec,24,Manufacturing,2011,21.48
Quebec,24,Manufacturing,2012,22.35
Quebec,24,Manufacturing,2013,22.58
Quebec,24,Manufacturing,2014,23.54
Quebec,24,Manufacturing,2015,23.75
Quebec,24,Wholesale and retail trade,1997,11.53
Quebec,24,Wholesale and retail trade,1998,11.78
Quebec,24,Wholesale and retail trade,1999,12.1
Quebec,24,Wholesale and retail trade,2000,12.2
Quebec,24,Wholesale and retail trade,2001,12.52
Quebec,24,Wholesale and retail trade,2002,12.66
Quebec,24,Wholesale and retail trade,2003,12.95
Quebec,24,Wholesale and retail trade,2004,13.42
Quebec,24,Wholesale and retail trade,2005,13.99
Quebec,24,Wholesale and retail trade,2006,14.02
Quebec,24,Wholesale and retail trade,2007,14.44
Quebec,24,Wholesale and retail trade,2008,15.02
Quebec,24,Wholesale and retail trade,2009,15.55
Quebec,24,Wholesale and retail trade,2010,15.79
Quebec,24,Wholesale and retail trade,2011,16.16
Quebec,24,Wholesale and retail trade,2012,16.65
Quebec,24,Wholesale and retail trade,2013,16.98
Quebec,24,Wholesale and retail trade,2014,17.47
Quebec,24,Wholesale and retail trade,2015,17.91
Quebec,24,Transportation and warehousing,1997,15.6
Quebec,24,Transportation and warehousing,1998,15.79
Quebec,24,Transportation and warehousing,1999,15.74
Quebec,24,Transportation and warehousing,2000,16.52
Quebec,24,Transportation and warehousing,2001,16.99
Quebec,24,Transportation and warehousing,2002,17.39
Quebec,24,Transportation and warehousing,2003,17.82
Quebec,24,Transportation and warehousing,2004,18.2
Quebec,24,Transportation and warehousing,2005,18.4
Quebec,24,Transportation and warehousing,2006,18.61
Quebec,24,Transportation and warehousing,2007,19.32
Quebec,24,Transportation and warehousing,2008,19.77
Quebec,24,Transportation and warehousing,2009,20.97
Quebec,24,Transportation and warehousing,2010,21.13
Quebec,24,Transportation and warehousing,2011,20.62
Quebec,24,Transportation and warehousing,2012,21.52
Quebec,24,Transportation and warehousing,2013,21.84
Quebec,24,Transportation and warehousing,2014,22.3
Quebec,24,Transportation and warehousing,2015,22.89
Quebec,24,"Finance, insurance, real estate, rental and leasing",1997,16.2
Quebec,24,"Finance, insurance, real estate, rental and leasing",1998,16.59
Quebec,24,"Finance, insurance, real estate, rental and leasing",1999,16.61
Quebec,24,"Finance, insurance, real estate, rental and leasing",2000,17.39
Quebec,24,"Finance, insurance, real estate, rental and leasing",2001,17.82
Quebec,24,"Finance, insurance, real estate, rental and leasing",2002,18.98
Quebec,24,"Finance, insurance, real estate, rental and leasing",2003,18.42
Quebec,24,"Finance, insurance, real estate, rental and leasing",2004,19.7
Quebec,24,"Finance, insurance, real estate, rental and leasing",2005,20.3
Quebec,24,"Finance, insurance, real estate, rental and leasing",2006,20.69
Quebec,24,"Finance, insurance, real estate, rental and leasing",2007,21.79
Quebec,24,"Finance, insurance, real estate, rental and leasing",2008,22.94
Quebec,24,"Finance, insurance, real estate, rental and leasing",2009,22.85
Quebec,24,"Finance, insurance, real estate, rental and leasing",2010,23.53
Quebec,24,"Finance, insurance, real estate, rental and leasing",2011,24.03
Quebec,24,"Finance, insurance, real estate, rental and leasing",2012,24.63
Quebec,24,"Finance, insurance, real estate, rental and leasing",2013,25.7
Quebec,24,"Finance, insurance, real estate, rental and leasing",2014,26.64
Quebec,24,"Finance, insurance, real estate, rental and leasing",2015,27.83
Quebec,24,"Professional, scientific and technical services",1997,17.83
Quebec,24,"Professional, scientific and technical services",1998,17.39
Quebec,24,"Professional, scientific and technical services",1999,17.95
Quebec,24,"Professional, scientific and technical services",2000,19.16
Quebec,24,"Professional, scientific and technical services",2001,20.52
Quebec,24,"Professional, scientific and technical services",2002,20.7
Quebec,24,"Professional, scientific and technical services",2003,21.71
Quebec,24,"Professional, scientific and technical services",2004,22.33
Quebec,24,"Professional, scientific and technical services",2005,22.64
Quebec,24,"Professional, scientific and technical services",2006,23.69
Quebec,24,"Professional, scientific and technical services",2007,23.8
Quebec,24,"Professional, scientific and technical services",2008,25.08
Quebec,24,"Professional, scientific and technical services",2009,25.2
Quebec,24,"Professional, scientific and technical services",2010,25.5
Quebec,24,"Professional, scientific and technical services",2011,26.6
Quebec,24,"Professional, scientific and technical services",2012,27.57
Quebec,24,"Professional, scientific and technical services",2013,27.13
Quebec,24,"Professional, scientific and technical services",2014,28.81
Quebec,24,"Professional, scientific and technical services",2015,28.36
Quebec,24,"Business, building and other support services 8",1997,12.24
Quebec,24,"Business, building and other support services 8",1998,12.3
Quebec,24,"Business, building and other support services 8",1999,11.72
Quebec,24,"Business, building and other support services 8",2000,12.51
Quebec,24,"Business, building and other support services 8",2001,12.87
Quebec,24,"Business, building and other support services 8",2002,12.89
Quebec,24,"Business, building and other support services 8",2003,13.55
Quebec,24,"Business, building and other support services 8",2004,14.15
Quebec,24,"Business, building and other support services 8",2005,14.19
Quebec,24,"Business, building and other support services 8",2006,15.2
Quebec,24,"Business, building and other support services 8",2007,15.21
Quebec,24,"Business, building and other support services 8",2008,15.78
Quebec,24,"Business, building and other support services 8",2009,15.81
Quebec,24,"Business, building and other support services 8",2010,16.77
Quebec,24,"Business, building and other support services 8",2011,17.11
Quebec,24,"Business, building and other support services 8",2012,17.4
Quebec,24,"Business, building and other support services 8",2013,17.85
Quebec,24,"Business, building and other support services 8",2014,17.41
Quebec,24,"Business, building and other support services 8",2015,18.13
Quebec,24,Educational services,1997,21.24
Quebec,24,Educational services,1998,21.75
Quebec,24,Educational services,1999,22.07
Quebec,24,Educational services,2000,22.21
Quebec,24,Educational services,2001,22.78
Quebec,24,Educational services,2002,23.4
Quebec,24,Educational services,2003,23.68
Quebec,24,Educational services,2004,24.62
Quebec,24,Educational services,2005,24.19
Quebec,24,Educational services,2006,25.52
Quebec,24,Educational services,2007,25.36
Quebec,24,Educational services,2008,26.42
Quebec,24,Educational services,2009,27.57
Quebec,24,Educational services,2010,27.66
Quebec,24,Educational services,2011,28.62
