"","term","estimate","std.error","statistic","p.value"
"59","industryProfessional, scientific and technical services:year1999",0.797999999999835,1.42155962855509,0.561355277661441,0.574607950570126
"60","industryTransportation and warehousing:year1999",0.459999999999841,1.42155962855508,0.323588255293518,0.746278068583083
"61","industryWholesale and retail trade:year1999",0.265999999999855,1.42155962855509,0.187118425887084,0.851583650741952
"62","industryAgriculture 5:year2000",0.0259999999998895,1.42155962855509,0.0182897709513012,0.985409213078061
"63","industryBusiness, building and other support services 8:year2000",0.389999999999883,1.42155962855509,0.274346564270603,0.78384199364258
"64","industryConstruction:year2000",0.697999999999828,1.42155962855509,0.491010004771515,0.623464414978477
"65","industryEducational services:year2000",0.179999999999906,1.42155962855509,0.126621491201788,0.899250628490466
"66","industryFinance, insurance, real estate, rental and leasing:year2000",0.969999999999901,1.42155962855509,0.682349147032147,0.495084272977315
"67","industryForestry, fishing, mining, quarrying, oil and gas 6 7:year2000",0.970999999999922,1.42155962855509,0.683052599761059,0.494639755289939
"68","industryHealth care and social assistance:year2000",0.334999999999883,1.42155962855509,0.235656664181147,0.813719273629582
"69","industryInformation, culture and recreation:year2000",0.349999999999865,1.42155962855509,0.246208455114622,0.805541995628171
"70","industryManufacturing:year2000",0.690999999999879,1.42155962855509,0.486085835669257,0.626950835053024
"71","industryOther services (except public administration):year2000",0.367999999999872,1.42155962855509,0.258870604234813,0.795757353543951
"72","industryProfessional, scientific and technical services:year2000",1.30599999999986,1.42155962855508,0.918709263942251,0.358340291225728
"73","industryTransportation and warehousing:year2000",0.796999999999867,1.42155962855509,0.560651824932562,0.575087423230055
"74","industryWholesale and retail trade:year2000",0.189999999999871,1.42155962855509,0.133656018490756,0.893685828514854
"75","industryAgriculture 5:year2001",0.0499999999998625,1.42155962855509,0.0351726364448628,0.971945016417812
"76","industryBusiness, building and other support services 8:year2001",0.645999999999891,1.42155962855509,0.454430462868803,0.64956026398122
"77","industryConstruction:year2001",0.884999999999834,1.42155962855508,0.622555665075671,0.533635895030198
"78","industryEducational services:year2001",0.399999999999911,1.42155962855509,0.281381091559615,0.778442457479117
"79","industryFinance, insurance, real estate, rental and leasing:year2001",1.2289999999999,1.42155962855509,0.864543403817037,0.387376136390407
"80","industryForestry, fishing, mining, quarrying, oil and gas 6 7:year2001",1.01799999999991,1.42155962855509,0.716114878019315,0.473990320812651
"81","industryHealth care and social assistance:year2001",0.720999999999882,1.42155962855508,0.507189417536236,0.612068673661544
"82","industryInformation, culture and recreation:year2001",0.523999999999876,1.42155962855509,0.368609229943091,0.71245163490962
"83","industryManufacturing:year2001",0.771999999999894,1.42155962855509,0.543065506710101,0.587135299989415
"84","industryOther services (except public administration):year2001",0.505999999999875,1.42155962855508,0.355947080822905,0.721911585144547
"85","industryProfessional, scientific and technical services:year2001",2.01999999999987,1.42155962855509,1.42097451237628,0.155454513863211
"86","industryTransportation and warehousing:year2001",0.728999999999872,1.42155962855509,0.512817039367422,0.608126662042591
"87","industryWholesale and retail trade:year2001",0.271999999999877,1.42155962855509,0.191339142260494,0.848276135684266
"88","industryAgriculture 5:year2002",0.288000000000199,1.42155962855509,0.202594385923108,0.839469308164882
"89","industryBusiness, building and other support services 8:year2002",0.842999999999863,1.42155962855508,0.593010650461925,0.553230084995681
"90","industryConstruction:year2002",0.990999999999802,1.42155962855509,0.697121654338963,0.485794408504264
"91","industryEducational services:year2002",0.914999999999894,1.42155962855509,0.643659246942687,0.519858126895219
"92","industryFinance, insurance, real estate, rental and leasing:year2002",1.77599999999987,1.42155962855509,1.24933204652488,0.21166588734487
"93","industryForestry, fishing, mining, quarrying, oil and gas 6 7:year2002",1.50299999999989,1.42155962855508,1.05728945153541,0.290486269460882
"94","industryHealth care and social assistance:year2002",1.30299999999987,1.42155962855509,0.916598905755553,0.359445258134762
"95","industryInformation, culture and recreation:year2002",0.436999999999854,1.42155962855509,0.307408842528845,0.758558959711626
"96","industryManufacturing:year2002",1.13399999999985,1.42155962855509,0.797715394571582,0.425114849579108
"97","industryOther services (except public administration):year2002",0.896999999999854,1.42155962855509,0.630997097822473,0.528102707353803
"98","industryProfessional, scientific and technical services:year2002",2.44999999999985,1.42155962855509,1.72345918580292,0.0849347451309008
"99","industryTransportation and warehousing:year2002",1.00099999999984,1.42155962855509,0.704156181627983,0.481404059551771
"100","industryWholesale and retail trade:year2002",0.365999999999862,1.42155962855509,0.257463698777007,0.79684298090247
"101","industryAgriculture 5:year2003",0.247999999999767,1.42155962855509,0.174456276766836,0.861521653527682
"102","industryBusiness, building and other support services 8:year2003",0.633999999999878,1.42155962855509,0.445989030122003,0.655645535431674
"103","industryConstruction:year2003",0.965999999999815,1.42155962855508,0.679535336116493,0.496864477224621
"104","industryEducational services:year2003",1.1599999999999,1.42155962855509,0.816005165522991,0.414578431090399
"105","industryFinance, insurance, real estate, rental and leasing:year2003",1.37499999999988,1.42155962855509,0.967247502236308,0.333518103971603
"106","industryForestry, fishing, mining, quarrying, oil and gas 6 7:year2003",1.38199999999988,1.42155962855508,0.972171671338606,0.331063446685693
"107","industryHealth care and social assistance:year2003",1.57999999999987,1.42155962855509,1.11145531166063,0.266484116108012
"108","industryInformation, culture and recreation:year2003",0.505999999999862,1.42155962855508,0.355947080822896,0.721911585144554
"109","industryManufacturing:year2003",1.07399999999988,1.42155962855509,0.755508230837649,0.45001848213877
"110","industryOther services (except public administration):year2003",0.801999999999861,1.42155962855509,0.564169088577054,0.572691955094807
"111","industryProfessional, scientific and technical services:year2003",2.52299999999986,1.42155962855509,1.77481123501257,0.076056211838069
"112","industryTransportation and warehousing:year2003",1.22899999999987,1.42155962855509,0.864543403817014,0.387376136390419
"113","industryWholesale and retail trade:year2003",0.397999999999868,1.42155962855508,0.279974186101787,0.779521518082654
"114","industryAgriculture 5:year2004",0.305999999999781,1.42155962855508,0.215256535042999,0.829585666322294
"115","industryBusiness, building and other support services 8:year2004",0.688999999999869,1.42155962855509,0.484678930211453,0.627948492978645
"116","industryConstruction:year2004",1.15999999999981,1.42155962855508,0.816005165522933,0.414578431090431
"117","industryEducational services:year2004",1.7379999999999,1.42155962855509,1.22260084282673,0.221600942987039
"118","industryFinance, insurance, real estate, rental and leasing:year2004",1.48499999999988,1.42155962855509,1.04462730241522,0.296300810645886
"119","industryForestry, fishing, mining, quarrying, oil and gas 6 7:year2004",1.42799999999993,1.42155962855508,1.004530496868,0.315224584102915
"120","industryHealth care and social assistance:year2004",1.98499999999987,1.42155962855509,1.3963536668648,0.162737579690499
"121","industryInformation, culture and recreation:year2004",0.753999999999859,1.42155962855509,0.530403357589893,0.595881532781159
"122","industryManufacturing:year2004",1.17399999999987,1.42155962855509,0.825853503727562,0.408969558864984
"123","industryOther services (except public administration):year2004",1.05999999999986,1.42155962855509,0.745659892633046,0.455946158562227
"124","industryProfessional, scientific and technical services:year2004",2.57099999999986,1.42155962855509,1.80857696599972,0.0706422721250581
"125","industryTransportation and warehousing:year2004",1.16399999999984,1.42155962855509,0.818818976438547,0.412971269649187
"126","industryWholesale and retail trade:year2004",0.562999999999863,1.42155962855509,0.396043886370149,0.692107975634281
"127","industryAgriculture 5:year2005",0.495000000000119,1.42155962855509,0.348209100805185,0.727713794826314
"128","industryBusiness, building and other support services 8:year2005",0.660999999999881,1.42155962855509,0.464982253802283,0.641986489127738
"129","industryConstruction:year2005",1.08499999999981,1.42155962855509,0.763246210855494,0.445391841249787
"130","industryEducational services:year2005",1.8709999999999,1.42155962855509,1.31616005577032,0.188246436318169
"131","industryFinance, insurance, real estate, rental and leasing:year2005",1.54799999999988,1.42155962855509,1.08894482433586,0.276287914765125
"132","industryForestry, fishing, mining, quarrying, oil and gas 6 7:year2005",1.7599999999999,1.42155962855509,1.23807680286251,0.215809083586083
"133","industryHealth care and social assistance:year2005",2.12799999999987,1.42155962855509,1.49694740709739,0.134538876383495
"134","industryInformation, culture and recreation:year2005",0.537999999999863,1.42155962855509,0.378457568147669,0.705124294196896
"135","industryManufacturing:year2005",1.21599999999988,1.42155962855509,0.855398518341333,0.392416234486994
"136","industryOther services (except public administration):year2005",1.05199999999986,1.42155962855509,0.740032270801852,0.45935303823555
"137","industryProfessional, scientific and technical services:year2005",3.16499999999986,1.42155962855509,2.22642788696584,0.0260783387758378
"138","industryTransportation and warehousing:year2005",1.14499999999985,1.42155962855509,0.805453374589469,0.42063815926957
"139","industryWholesale and retail trade:year2005",0.313999999999864,1.42155962855509,0.220884156874251,0.825201485581878
"140","industryAgriculture 5:year2006",0.242999999999703,1.42155962855508,0.170939013122295,0.864286177798252
"141","industryBusiness, building and other support services 8:year2006",0.654999999999871,1.42155962855508,0.460761537428882,0.645011586372748
"142","industryConstruction:year2006",1.48199999999982,1.42155962855509,1.04251694422848,0.297277425202894
"143","industryEducational services:year2006",2.22899999999989,1.42155962855509,1.56799613271622,0.117014303381483
"144","industryFinance, insurance, real estate, rental and leasing:year2006",2.07999999999989,1.42155962855509,1.46318167611025,0.143549057031083
"145","industryForestry, fishing, mining, quarrying, oil and gas 6 7:year2006",1.99199999999991,1.42155962855509,1.40127783596713,0.161260733314224
"146","industryHealth care and social assistance:year2006",2.51799999999986,1.42155962855509,1.77129397136807,0.0766391384945671
"147","industryInformation, culture and recreation:year2006",1.10499999999985,1.42155962855509,0.777315265433508,0.437049657451607
"148","industryManufacturing:year2006",1.55099999999988,1.42155962855509,1.09105518252256,0.275358489567387
"149","industryOther services (except public administration):year2006",1.49899999999986,1.42155962855509,1.05447564061979,0.291771704015041
"150","industryProfessional, scientific and technical services:year2006",3.62099999999984,1.42155962855509,2.54720233134387,0.010921153872049
"151","industryTransportation and warehousing:year2006",1.52299999999986,1.42155962855509,1.07135850611338,0.284116345803182
"152","industryWholesale and retail trade:year2006",0.475999999999863,1.42155962855508,0.334843498955921,0.737772504270215
"153","industryAgriculture 5:year2007",0.599999999999717,1.42155962855509,0.422071637339318,0.673010660343139
"154","industryBusiness, building and other support services 8:year2007",1.03999999999986,1.42155962855508,0.731590838055067,0.464490005986005
"155","industryConstruction:year2007",2.10199999999982,1.42155962855509,1.47865763614597,0.139363506731915
"156","industryEducational services:year2007",2.29899999999989,1.42155962855509,1.61723782373917,0.105958809220073
"157","industryFinance, insurance, real estate, rental and leasing:year2007",2.48199999999987,1.42155962855509,1.74596967312771,0.0809445993714344
"158","industryForestry, fishing, mining, quarrying, oil and gas 6 7:year2007",3.32799999999989,1.42155962855509,2.34109068177644,0.0193092175250873
"159","industryHealth care and social assistance:year2007",2.79599999999985,1.42155962855509,1.96685383000204,0.0493154956283147
"160","industryInformation, culture and recreation:year2007",1.61299999999986,1.42155962855509,1.1346692517143,0.256627615803717
"161","industryManufacturing:year2007",1.96299999999987,1.42155962855509,1.38087770682902,0.16744556461196
"162","industryOther services (except public administration):year2007",1.72099999999985,1.42155962855509,1.2106421464354,0.226152190601845
"163","industryProfessional, scientific and technical services:year2007",4.15799999999985,1.42155962855509,2.92495644676274,0.00347745999673642
"164","industryTransportation and warehousing:year2007",1.48699999999984,1.42155962855509,1.04603420787299,0.295650929038106
"165","industryWholesale and retail trade:year2007",0.651999999999847,1.42155962855508,0.458651179242167,0.646526346664023
"166","industryAgriculture 5:year2008",0.756999999999672,1.42155962855509,0.532513715776458,0.594419705959364
"167","industryBusiness, building and other support services 8:year2008",1.09999999999984,1.42155962855509,0.773798001788998,0.439126721304796
"168","industryConstruction:year2008",2.65599999999977,1.42155962855508,1.8683704479561,0.0618326118038163
"169","industryEducational services:year2008",2.99399999999986,1.42155962855509,2.10613747032408,0.0352963528402322
"170","industryFinance, insurance, real estate, rental and leasing:year2008",3.36499999999984,1.42155962855509,2.36711843274567,0.0180063874075571
"171","industryForestry, fishing, mining, quarrying, oil and gas 6 7:year2008",3.57399999999984,1.42155962855507,2.51414005308563,0.0119974612564799
"172","industryHealth care and social assistance:year2008",3.01399999999984,1.42155962855509,2.12020652490205,0.0340913145606074
"173","industryInformation, culture and recreation:year2008",1.64299999999982,1.42155962855509,1.15577283358125,0.247889516179936
"174","industryManufacturing:year2008",2.07399999999984,1.42155962855509,1.45896095973681,0.144707150535745
"175","industryOther services (except public administration):year2008",1.74599999999982,1.42155962855509,1.22822846465786,0.219482051673064
"176","industryProfessional, scientific and technical services:year2008",4.5889999999998,1.42155962855508,3.22814457291827,0.00126281008184237
"177","industryTransportation and warehousing:year2008",1.65899999999981,1.42155962855508,1.16702807724363,0.243315357416945
"178","industryWholesale and retail trade:year2008",0.743999999999828,1.42155962855509,0.523368830300878,0.600766090232128
"179","industryAgriculture 5:year2009",0.664999999999939,1.42155962855509,0.46779606471792,0.639973051162616
"180","industryBusiness, building and other support services 8:year2009",1.29699999999987,1.42155962855509,0.912378189382162,0.361661609976194
"181","industryConstruction:year2009",3.04799999999982,1.42155962855509,2.14412391768461,0.032123471500995
"182","industryEducational services:year2009",3.08299999999989,1.42155962855509,2.16874476319614,0.0302003087486621
"183","industryFinance, insurance, real estate, rental and leasing:year2009",3.25999999999989,1.42155962855509,2.29325589621129,0.0219196448639027
"184","industryForestry, fishing, mining, quarrying, oil and gas 6 7:year2009",3.9849999999999,1.42155962855509,2.80325912466322,0.00509969186581352
"185","industryHealth care and social assistance:year2009",3.35099999999986,1.42155962855509,2.3572700945411,0.0184899998395594
"186","industryInformation, culture and recreation:year2009",1.62399999999986,1.42155962855508,1.14240723173219,0.253399122521039
"187","industryManufacturing:year2009",2.36999999999988,1.42155962855509,1.667182967491,0.0956089354215158
"188","industryOther services (except public administration):year2009",2.05799999999985,1.42155962855509,1.44770571607444,0.147830418619064
"189","industryProfessional, scientific and technical services:year2009",5.04899999999985,1.42155962855509,3.55173282821193,0.000390099063575458
"190","industryTransportation and warehousing:year2009",2.29799999999985,1.42155962855509,1.61653437101024,0.106110692472956
"191","industryWholesale and retail trade:year2009",0.764999999999853,1.42155962855509,0.53814133760778,0.590529543045993
"192","industryAgriculture 5:year2010",0.73899999999984,1.42155962855508,0.519851566656393,0.603215138135806
"193","industryBusiness, building and other support services 8:year2010",1.26699999999987,1.42155962855508,0.891274607515188,0.372871508434734
"194","industryConstruction:year2010",3.15999999999982,1.42155962855509,2.22291062332132,0.0263149672124217
"195","industryEducational services:year2010",3.96899999999988,1.42155962855508,2.79200388100082,0.00527990017514542
"196","industryFinance, insurance, real estate, rental and leasing:year2010",3.5209999999999,1.42155962855509,2.47685705845398,0.0133231507973705
"197","industryForestry, fishing, mining, quarrying, oil and gas 6 7:year2010",4.17999999999988,1.42155962855508,2.94043240679855,0.00330898413314663
"198","industryHealth care and social assistance:year2010",3.61199999999988,1.42155962855509,2.5408712567838,0.0111203511999335
"199","industryInformation, culture and recreation:year2010",1.77499999999986,1.42155962855508,1.24862859379597,0.211923139603589
"200","industryManufacturing:year2010",2.42599999999987,1.42155962855509,1.70657632030936,0.08803062592155
"201","industryOther services (except public administration):year2010",2.03399999999986,1.42155962855509,1.43082285058086,0.152611614303588
"202","industryProfessional, scientific and technical services:year2010",5.42299999999985,1.42155962855509,3.81482414882023,0.000139731538174225
"203","industryTransportation and warehousing:year2010",2.60099999999986,1.42155962855509,1.8296805478667,0.0674221243926375
"204","industryWholesale and retail trade:year2010",0.776999999999868,1.42155962855508,0.546582770354582,0.584716388654528
"205","industryAgriculture 5:year2011",0.792999999999988,1.42155962855509,0.557838014017053,0.577007204157599
"206","industryBusiness, building and other support services 8:year2011",1.4859999999999,1.42155962855509,1.04533075514413,0.295975750375513
"207","industryConstruction:year2011",3.36199999999983,1.42155962855509,2.36500807455897,0.0181090750623373
"208","industryEducational services:year2011",4.14799999999991,1.42155962855509,2.91792191947379,0.00355659190353005
"209","industryFinance, insurance, real estate, rental and leasing:year2011",3.5199999999999,1.42155962855509,2.47615360572509,0.0133493626007779
"210","industryForestry, fishing, mining, quarrying, oil and gas 6 7:year2011",4.36999999999991,1.42155962855509,3.07408842528941,0.00213530521752607
"211","industryHealth care and social assistance:year2011",3.81899999999987,1.42155962855509,2.68648597166593,0.00727074357719991
"212","industryInformation, culture and recreation:year2011",1.74699999999988,1.42155962855509,1.2289319173868,0.219218216969052
"213","industryManufacturing:year2011",2.04499999999988,1.42155962855509,1.43856083059877,0.150405815768879
"214","industryOther services (except public administration):year2011",2.15599999999987,1.42155962855509,1.51664408350657,0.129488706275306
"215","industryProfessional, scientific and technical services:year2011",5.75499999999988,1.42155962855509,4.04837045481476,5.32148224110625e-05
"216","industryTransportation and warehousing:year2011",2.37399999999987,1.42155962855509,1.66999677840659,0.0950508390913878
"217","industryWholesale and retail trade:year2011",0.812999999999878,1.42155962855509,0.571907068594957,0.567438673613692
"218","industryAgriculture 5:year2012",0.962999999999954,1.42155962855509,0.677424977929889,0.498201867274054
"219","industryBusiness, building and other support services 8:year2012",1.69799999999988,1.42155962855509,1.19446273367075,0.232415437530781
"220","industryConstruction:year2012",3.92599999999983,1.42155962855509,2.76175541365812,0.00579307732770258
"221","industryEducational services:year2012",4.5709999999999,1.42155962855509,3.21548242379814,0.00131961149628901
"222","industryFinance, insurance, real estate, rental and leasing:year2012",3.9659999999999,1.42155962855509,2.78989352281413,0.00531432311286313
"223","industryForestry, fishing, mining, quarrying, oil and gas 6 7:year2012",5.4419999999999,1.42155962855508,3.82818975066935,0.000132402509755813
"224","industryHealth care and social assistance:year2012",3.88499999999987,1.42155962855508,2.73291385177328,0.0063238561392731
"225","industryInformation, culture and recreation:year2012",1.75299999999987,1.42155962855509,1.23315263376019,0.217639993073835
"226","industryManufacturing:year2012",2.48999999999989,1.42155962855509,1.75159729495891,0.0799712286136223
"227","industryOther services (except public administration):year2012",2.24499999999987,1.42155962855509,1.57925137637859,0.114410630017209
"228","industryProfessional, scientific and technical services:year2012",6.20999999999985,1.42155962855509,4.36844144646389,1.30472731530903e-05
"229","industryTransportation and warehousing:year2012",2.36899999999986,1.42155962855508,1.66647951476209,0.0957488689308908
"230","industryWholesale and retail trade:year2012",0.886999999999877,1.42155962855509,0.623962570533498,0.532711665401973
